"bref_id","lon","lat"
"piscot001ste",-121.8746789,37.6624312
"plawec000kev",-87.9370052,41.8008642
"plouff001tre",-118.6439809,34.1973122
"polanc001gre",-69.9312117,18.4860575
"polanc001jor",-69.2996732,18.4720698
"polloc001aj-",-72.3659161,41.6578767
"pomera001tho",-89.6645266,35.042036
"pompey001dal",-79.6441198,43.5890452
"porcel001ric",-74.4815438,40.7967667
"posey-001bus",-84.1707423,31.7321156
"powell000her",-117.7946942,33.6839473
"prado-002mar",-67.6066164,10.2441931
"pressl002rya",-96.7969879,32.7766642
"price-004dav",-86.39027,35.8456213
"profar001jur",-68.8824233,12.1224221
"puig--000yas",-80.4437781,22.1599753
"pujols001jos",-69.9312117,18.4860575
"putnam001zac",-83.1338214,42.680588
"quacke000kev",-82.4575938,28.2188992
"qualls001cha",-118.3150722,33.7922392
"quinta001jos",-75.347308,10.252471
"raburn001rya",-82.4571776,27.950575
"ramire001han",-69.3324518,19.2080704
"ramire001nei",-75.977985,36.8529263
"ramire002era",-85.684578,11.402349
"ramire005ale",-83.6880257,22.4133651
"ramire014jos",-70.3301173,18.2854798
"ramos-001wil",-67.9972104,10.1579312
"ramos-002ale",-101.8551665,33.5778631
"rasmus001col",-84.9877094,32.4609764
"rasmus001cor",-84.9877094,32.4609764
"ravin-001jos",-118.6439809,34.1973122
"ray---001rob",-86.7827772,36.0331164
"rea---000col",-91.0148618,42.2986159
"realmu001jac",-97.4408698,35.4420062
"reddic001jos",-81.0998342,32.0835407
"reed--000and",-87.4139092,39.4667034
"reed--001add",-117.6897776,34.0775104
"refsny000rob",126.9779692,37.566535
"rendon001ant",-95.3698028,29.7604267
"revere001ben",-84.3879824,33.7489954
"reyes-000ale",-74.2107006,40.6639916
"reyes-005jos",-70.6930568,19.4791963
"reynol002mar",-82.5187629,37.4792672
"richar001cla",-86.8752869,40.4167022
"richar001gar",-117.3961564,33.9533487
"rickar000joe",-115.1398296,36.1699412
"rivera002ren",-66.1659674,18.3691963
"rivero001fel",-68.7453064,10.3401921
"rizzo-001ant",-80.1373174,26.1224386
"roark-001tan",-88.1467243,41.3078093
"robert009dav",-86.80249,33.5206608
"robins001cli",-92.1735164,38.5767017
"robles001han",-70.408481,18.9330331
"rodney001fer",-69.9312117,18.4860575
"rodon-000car",-80.1917902,25.7616798
"rodrig001sea",-80.1917902,25.7616798
"rodrig003fer",-106.4850217,31.7618778
"rodrig006ale",-74.0059413,40.7127837
"rodrig006edu",-67.9972104,10.1579312
"rodrig009fra",-66.9511459,10.5004352
"roe---001cha",-80.6339638,40.3697905
"rogers002jas",-84.4393724,33.6795531
"rogers002tay",-105.0166498,39.613321
"rollin001dav",-94.1667198,32.3036857
"rollin001jam",-122.2711137,37.8043637
"romero001enn",-69.9312117,18.4860575
"romo--001ser",-115.530267,32.9786566
"rondon001bru",-67.9972104,10.1579312
"rondon001hec",-66.5581092,10.4597466
"rosari001edd",-66.1137767,17.9841328
"rosent001tre",-94.3821724,38.9108408
"ross--000joe",-122.272747,37.8715926
"ross--001tys",-122.272747,37.8715926
"ross--008rob",-84.5037164,38.0405837
"rosscu001zac",-122.5703692,45.4076205
"ruf---001dar",-95.9979883,41.2523634
"ruggia001jus",-97.7430608,30.267153
"ruiz--002car",-82.2800546,8.3866964
"rumbel000nic",-95.320229,32.1398804
"rupp--001cam",-96.7969879,32.7766642
"rusin-001chr",-83.0457538,42.331427
"russel001add",-87.2169149,30.421309
"rutcky001eva",-83.0363633,42.3149367
"ryu---000hye",126.7052062,37.4562557
"rzepcz001mar",-87.7479528,41.719978
"sabath001car",-122.2566367,38.1040864
"saladi001tyl",-117.1610838,32.715738
"salas-001fer",-109.6418609,26.8271492
"salaza003dan",-69.9312117,18.4860575
"sale--001chr",-81.9498042,28.0394654
"saltal001jar",-80.0533746,26.7153424
"samard001jef",-87.3328139,41.4828144
"sanche001aar",-117.0172826,34.8957957
"sanche001ani",-67.6066164,10.2441931
"sanche008car",-67.6066164,10.2441931
"sandov001pab",-68.0298654,10.4697685
"sands-002ger",-74.4229341,41.4459271
"sano--001mig",-69.2996732,18.4720698
"santan001car",-69.9312117,18.4860575
"santan001dan",-69.7852843,18.8069496
"santan001erv",-68.9658817,18.4338645
"santan002dom",-69.9312117,18.4860575
"santia001hec",-74.1723667,40.735657
"saunde001mic",-123.3656444,48.4284207
"scherz001max",-90.1994042,38.6270025
"schoop001jon",-68.8824233,12.1224221
"schwar001kyl",-84.3982763,39.5150576
"scribn001eva",-73.4085463,41.5770433
"seager001cor",-80.8431267,35.2270869
"seager001kyl",-80.8431267,35.2270869
"segura001jea",-71.2309935,18.8096268
"semien001mar",-122.4194155,37.7749295
"severi000lui",-69.3890673,19.0533557
"shaffe002ric",-74.8593318,40.5123258
"shaw--001bry",-121.7680088,37.6818745
"shaw--002tra",-83.4390843,39.5364511
"shield002jam",-118.5308652,34.3847198
"shoema002mat",-83.1499239,42.2142064
"shreve002cha",-115.1398296,36.1699412
"siegri001kev",-78.8783689,42.8864468
"simmon000sha",-89.5181476,37.3058839
"simmon002and",-68.952469,12.110391
"simon-001alf",-70.6930568,19.4791963
"single001jon",-118.2965084,33.7906551
"sipp--001ton",-88.5561272,30.3657552
"skaggs001tyl",-118.6089752,34.165357
"smith-001jos",-84.5120196,39.1031182
"smith-003gar",-90.1848103,32.2987573
"smith-009car",-96.7969879,32.7766642
"smith-058wil",-84.7996573,33.3806716
"smoak-001jus",-80.0325867,32.9810059
"smoker001jos",-84.9510542,34.502587
"smyly-001tod",-92.2895948,34.7464809
"snell-000bla",-122.3320708,47.6062095
"socolo001mig",-66.9511459,10.5004352
"sogard001eri",-112.0740373,33.4483771
"solart001yan",-67.9972104,10.1579312
"soler-000jor",-82.345189,23.0540698
"solis-001sam",-93.2650108,44.977753
"soria-001joa",-101.4215236,26.9080378
"soto--001geo",-66.1057217,18.4663338
"souza-001ste",-122.2020794,47.9789848
"span--001kei",-82.4571776,27.950575
"spange000cor",-75.7085248,41.4886892
"spring001geo",-72.7795419,41.6612104
"stanto003mic",-118.442425,34.227617
"stassi001max",-121.7732971,38.6785157
"stephe006rob",-122.1341321,38.0193657
"stewar002chr",-117.435048,34.0922335
"storen001dre",-86.158068,39.768403
"story-000tre",-96.9488945,32.8140177
"strail001dan",-117.1825381,34.0555693
"strang001dev",-81.5347952,28.4955593
"strasb001ste",-117.1610838,32.715738
"strick001hun",-84.3265854,32.8881879
"stroma001mar",-73.0001068,40.8175985
"strop-001ped",-70.1030668,18.4188797
"stults001eri",-86.3097278,41.3436554
"stumpf000dan",-95.2621553,29.9988312
"suarez001eug",-62.7676633,8.2750921
"susac-001and",-121.2880059,38.7521235
"suzuki001kur",-156.5047222,20.8911111
"swihar000bla",-97.1430671,32.844017
"synder001noa",-97.1416768,32.5631924
"taillo001jam",-81.9498042,28.0394654
"tanaka003mas",135.4009473,34.7843061
"taylor004chr",-75.977985,36.8529263
"taylor011mic",-80.1373174,26.1224386
"tazawa001jun",139.6380256,35.4437078
"tehera001jul",-75.4794257,10.3910485
"teixei001mar",-76.4921829,38.9784453
"tejada001rub",-80.9760556,8.0884943
"telis-001tom",-64.2329738,8.8819995
"tepera001den",-95.4343859,29.0338575
"thole-001jos",-89.5270306,38.6106042
"thomas001ian",-76.2858726,36.8507689
"thomps003jac",-118.1331593,33.9401088
"thomps003tra",-118.2436849,34.0522342
"thornt001mat",-85.632493,41.9439368
"tillma001chr",-117.9145036,33.8352932
"tolles001sha",-96.7969879,32.7766642
"tomlin000kel",-97.9364326,35.052565
"tomlin001jos",-95.3010624,32.3512601
"tonkin001mic",-118.255075,34.1425078
"travis000dev",-80.0533746,26.7153424
"treine001bla",-97.330053,37.6871761
"tropea000nic",-73.3062302,40.7062104
"trout-001mik",-75.0259637,39.4863773
"trumbo001mar",-117.9145036,33.8352932
"tucker002pre",-82.4571776,27.950575
"tuivai001sam",-122.3255254,37.5629917
"tulowi001tro",-121.9552356,37.3541079
"turner000tre",-80.0905465,26.5317866
"turner001jus",-118.1937395,33.7700504
"turner002jac",-90.4974359,38.7881062
"uehara001koj",135.6280998,34.7660929
"upton-001jus",-76.2858726,36.8507689
"upton-001mel",-76.2858726,36.8507689
"urena-004jos",-69.9312117,18.4860575
"urias-000jul",-107.3940117,24.8090649
"uribe-002jua",-70.147069,18.261648
"urruti000hen",-76.9527836,20.957938
"urshel001gio",-75.4794257,10.3910485
"utley-002cha",-118.1445155,34.1477849
"valbue001lui",-71.0824613,9.1518116
"valenc001dan",-80.1917902,25.7616798
"vansly001sco",-90.5770675,38.6631083
"vargas001ken",-65.8997533,18.3748748
"vazque001chr",-66.1659674,18.3691963
"velasq001vin",-117.6897776,34.0775104
"venabl001wil",-122.5252604,37.9476326
"ventur001yor",-69.3324518,19.2080704
"verlan001jus",-77.7231314,37.6520295
"verret000log",-95.4612625,30.1658207
"victor001sha",-156.5047222,20.8911111
"villan001car",-70.6930568,19.4791963
"villan001jon",-70.5205436,19.2152609
"vincen001nic",-117.0358646,32.9628232
"vizcai001aro",-70.1798134,18.3360102
"vogels001rya",-80.8431267,35.2270869
"vogt--001ste",-119.2920585,36.3302284
"volque001edi",-69.9312117,18.4860575
"votto-001jos",-79.3831843,43.653226
"wacha-001mic",-91.5301683,41.6611277
"wagner000tyl",-115.1398296,36.1699412
"wainwr001ada",-81.4914894,31.1499528
"walden001jor",-97.3307658,32.7554883
"walker001nei",-79.9958864,40.4406248
"walker001tai",-93.7501789,32.5251516
"walsh-001col",-117.2712717,32.8328112
"walter001jef",-81.3792365,28.5383355
"warren001ada",-86.80249,33.5206608
"watson001ant",-96.4003069,42.4999942
"weaver001jer",-118.530123,34.2381251
"webb--002rya",-82.8001026,27.9658533
"weber-003jam",-82.6267345,27.7518284
"wendel000jef",-81.0998342,32.0835407
"werth-001jay",-89.6501481,39.7817213
"wheele001zac",-84.5143761,33.8839926
"whitle001cha",-85.3446728,33.5228885
"wielan001jos",-119.8138027,39.5296329
"wieter001mat",-80.0325867,32.9810059
"wilhel001tho",-110.926479,32.2217429
"willia003jer",-157.8583333,21.3069444
"willia028joh",-81.655651,30.3321838
"wilson002chr",-117.9289469,33.6189101
"wilson002jus",-117.9145036,33.8352932
"wilson005phi",-79.1422464,37.4137536
"winkle001dan",-88.5433829,39.1200418
"wisler000mat",-84.5524508,41.4747732
"withro001chr",-97.7430608,30.267153
"wittgr000nic",-118.3406288,33.8358492
"wojcie001ran",-81.0806665,32.2871413
"wolf--001ran",-118.6058609,34.208254
"wong--001kol",-155.09,19.7297222
"wood--000ale",-80.8431267,35.2270869
"wood--001bla",-84.3879824,33.7489954
"wood--001tra",-92.2895948,34.7464809
"workma001bra",-97.1080656,32.735687
"worley001van",-121.4943996,38.5815719
"wright002dav",-76.2858726,36.8507689
"wright004ste",-118.3406288,33.8358492
"yates-001kir",-159.3711111,21.9811111
"yelich001chr",-118.8375937,34.1705609
"young-001chr",-95.3698028,29.7604267
"ziegle001bra",-98.7375911,37.6439071
"zimmer000kyl",-122.4194155,37.7749295
"zimmer002jor",-90.0076294,44.6269064
"zimmer002rya",-77.0521742,35.5465517
"zobris001ben",-89.2728627,40.7214251
"zunino001mic",-81.9495331,26.5628537
"zych--001ton",-87.7417114,41.420034
